5000	38640
1	2341	0.350394
1	3463	2.19164
1	3909	2.95791
1	4007	3.37904
1	4113	2.97668
1	4430	3.77762
1	4491	4.01163
2	3961	1.65868
2	3982	1.56595
2	4242	4.55685
2	4291	2.47471
2	4521	3.50358
2	4563	3.67653
2	4588	3.78878
3	2907	0.819994
3	3464	1.72988
3	4127	1.78331
3	4547	3.65458
3	4623	3.57838
3	4631	3.95491
3	4848	4.72557
4	4717	1.56649
4	4806	2.04385
4	4838	2.26094
4	4844	2.2358
4	4888	2.6615
4	4901	2.89597
4	4934	3.00972
5	4551	2.34767
5	4691	2.51349
5	4699	2.61323
5	4704	2.65963
5	4752	2.88928
5	4774	3.00273
5	4785	3.00266
6	2900	0.736614
6	3381	1.36616
6	3721	1.56233
6	3930	2.55142
6	4382	3.63988
6	4534	4.04085
6	4615	4.33329
7	1228	2.20504
7	2617	2.42806
7	2698	2.2814
7	2757	2.5616
7	3453	3.45439
7	3791	3.73774
7	4392	3.1815
8	3962	1.81767
8	4729	2.01078
8	4786	2.4449
8	4816	2.737
8	4871	3.06394
8	4881	3.20594
8	4895	3.20594
9	1455	1.98277
9	2102	1.83361
9	2595	4.15692
9	2947	2.4797
9	3263	2.94724
9	3783	3.61792
9	3925	3.807
10	2993	4.68722
10	4808	1.74463
10	4911	2.70625
10	4952	2.92659
10	4972	3.07312
10	4974	3.15444
10	4987	3.0712
11	4642	1.14555
11	4723	1.84501
11	4730	2.01976
11	4797	2.26406
11	4819	2.52833
11	4951	3.25546
11	4995	3.61041
12	1722	1.54841
12	1940	1.60326
12	2387	1.42073
12	2472	1.98428
12	3704	3.1389
12	3854	3.31841
12	4004	3.65424
13	2874	1.56435
13	3166	2.10309
13	3350	3.65049
13	3868	2.89159
13	4122	3.16339
13	4166	3.09042
13	4370	3.8554
14	4098	0.019225
14	4535	0.803749
14	4771	2.3546
14	4839	2.6964
14	4947	3.45167
14	4959	3.59627
14	4969	3.74699
15	574	0.0283333
15	3667	0.592952
15	4487	2.99121
15	4525	3.05808
15	4646	3.22723
15	4655	3.19446
15	4702	3.57597
16	2997	0.197534
16	3127	0.0406551
16	4320	2.50961
16	4451	3.0479
16	4542	2.9827
16	4722	3.90125
16	4740	3.98858
17	4069	1.2164
17	4114	1.25803
17	4236	1.54695
17	4418	2.25349
17	4518	3.0177
17	4700	3.6281
17	4705	3.74771
18	1486	2.0467
18	2489	2.56213
18	2501	1.88537
18	2986	2.31298
18	3742	3.54064
18	4160	4.32042
18	4602	1.32249
19	3328	0.141976
19	4172	1.68976
19	4551	2.55721
19	4553	2.51079
19	4640	3.16315
19	4683	3.25131
19	4719	3.35407
20	1448	1.22388
20	1801	1.13911
20	1940	3.16228
20	3599	2.63271
20	3877	3.37165
20	4037	3.52592
20	4607	4.77498
21	1019	2.26274
21	2625	0.610262
21	2743	0.682129
21	3730	2.1673
21	4318	3.84666
21	4583	4.63452
21	4641	4.72734
22	74	0.254566
22	910	0.954409
22	3075	2.1233
22	3242	2.43312
22	3940	3.33444
22	4279	3.74784
22	4303	3.82056
23	1617	1.83406
23	2235	1.94466
23	2274	2.18758
23	2504	2.18723
23	2660	2.36135
23	2717	2.17947
23	3987	3.97388
24	1650	0.157184
24	3311	1.28325
24	3435	1.4298
24	4042	2.86543
24	4343	3.10875
24	4507	3.77889
24	4559	4.04493
25	709	0.579764
25	1897	1.07896
25	2564	1.63534
25	4216	3.80559
25	4437	4.24273
25	4472	4.32657
25	4668	4.80487
26	3205	0.469098
26	4825	2.19536
26	4843	2.26133
26	4858	2.37247
26	4935	3.09161
26	4970	3.35359
26	4986	3.39492
27	390	0.737084
27	2364	1.28839
27	2502	0.92322
27	3677	2.97003
27	3828	3.2536
27	3924	3.45312
27	4212	4.04278
28	2283	1.72886
28	3122	2.75768
28	3292	2.73658
28	3366	2.85406
28	3554	3.00295
28	3743	3.5881
28	3919	4.8117
29	425	0.69055
29	2626	1.74608
29	2700	0.613945
29	3187	2.2721
29	4093	3.55558
29	4148	3.98928
29	4443	4.41463
30	693	1.72252
30	757	1.45057
30	2443	2.41305
30	2754	2.78416
30	4065	4.25115
30	4068	4.04678
30	4631	1.92663
31	478	1.15548
31	2149	1.72543
31	2183	2.37005
31	2770	2.64955
31	3035	2.76424
31	3115	2.15996
31	3972	3.84352
32	2325	0.531036
32	3327	1.53322
32	3336	1.05885
32	3883	1.84721
32	4241	2.7558
32	4692	4.23618
32	4770	4.70593
33	1930	3.16228
33	3311	1.1368
33	4042	2.71899
33	4082	2.59874
33	4244	2.68277
33	4507	3.63245
33	4559	3.89849
34	1513	2.7
34	4284	0.426244
34	4571	2.06473
34	4654	2.42468
34	4896	3.67637
34	4927	4.03819
34	4930	4.03819
35	2526	0.480872
35	2896	0.830495
35	3321	0.449314
35	4381	2.94871
35	4669	3.99106
35	4692	3.97368
35	4770	4.44342
36	496	0.420934
36	2889	4.68722
36	4079	2.71853
36	4119	2.99657
36	4298	3.4806
36	4304	3.35519
36	4410	3.69641
37	1738	0.752838
37	1768	0.642908
37	2405	1.67191
37	3690	2.79019
37	3889	3.29275
37	4154	3.43205
37	4438	4.08558
38	416	0.982989
38	980	1.78562
38	2477	1.76083
38	2766	1.9715
38	3496	2.98811
38	3810	3.3055
38	4200	3.8737
39	259	0.656642
39	2366	1.58039
39	2816	1.98488
39	3034	2.50669
39	3745	2.91896
39	3943	3.42685
39	4187	3.59382
40	3412	1.16797
40	3845	2.00047
40	3864	1.97585
40	3996	2.35207
40	4213	2.99015
40	4299	3.02502
40	4368	3.1567
41	209	0.183048
41	4049	1.97095
41	4094	1.11324
41	4525	3.14439
41	4646	3.31354
41	4655	3.28077
41	4702	3.66229
42	899	0.218467
42	1373	0.611941
42	2943	0.710094
42	4669	4.89758
42	4692	4.8802
42	4770	5.34995
42	4903	2.41048
43	2995	1.61658
43	3128	2.1344
43	3256	2.09003
43	3374	2.09806
43	4300	1.60506
43	4423	4.20122
43	4552	4.52793
44	3746	1.18755
44	3920	1.63207
44	4360	3.11392
44	4531	3.36031
44	4583	3.6408
44	4639	2.67927
44	4641	3.73362
45	836	0.904797
45	1140	1.19682
45	3179	2.29509
45	3544	2.48493
45	3742	2.91214
45	3861	3.18254
45	4160	3.69191
46	3931	2.86689
46	4582	0.689671
46	4824	2.5313
46	4900	3.22071
46	4936	3.34937
46	4941	3.38272
46	4956	3.53196
47	2414	3.64829
47	2720	0.318505
47	4194	2.99579
47	4237	2.7789
47	4399	3.49613
47	4400	3.44109
47	4483	3.63782
48	488	1.85203
48	1100	1.69875
48	2600	2.1334
48	2844	2.43683
48	3442	2.76688
48	3638	3.38322
48	4251	4.24915
49	1946	3.16228
49	4248	2.21796
49	4347	2.61362
49	4376	2.33952
49	4480	2.99853
49	4499	2.89359
49	4675	3.60503
50	1614	1.03486
50	2015	1.68101
50	3611	3.32337
50	3759	3.46403
50	3933	3.62208
50	4020	3.54289
50	4529	0.678365
51	1854	1.57478
51	1945	1.53923
51	2730	2.07846
51	3514	2.92078
51	3558	2.71448
51	3866	3.29197
51	4564	4.62699
52	1152	0.948401
52	1895	1.43682
52	3286	2.5944
52	4140	3.84099
52	4210	1.92835
52	4250	3.83365
52	4292	4.01398
53	1948	0.195562
53	2178	3.16228
53	3219	0.315436
53	4679	3.77347
53	4731	4.08277
53	4732	4.09742
53	4769	4.20351
54	643	0.769412
54	3203	0.701377
54	3827	3.64519
54	4062	2.13019
54	4203	2.82669
54	4721	4.90986
54	4859	5.33071
55	1679	0.848646
55	3425	6.4
55	3764	2.30809
55	3986	3.09146
55	4175	3.09139
55	4397	3.74294
55	4402	3.5857
56	851	2.26274
56	906	3.00071
56	955	2.00202
56	1093	2.56407
56	1750	2.62865
56	2213	3.00026
56	3077	3.47255
57	1082	0.981238
57	2165	3.16228
57	3160	2.71923
57	3161	2.83985
57	3394	3.15933
57	3580	3.24834
57	3875	3.72024
58	3101	1.17974
58	4092	2.7357
58	4196	2.99145
58	4247	3.35043
58	4262	3.31744
58	4288	3.09346
58	4342	0.520379
59	1112	1.4553
59	1113	1.53315
59	2773	2.89585
59	3311	2.13352
59	3496	3.38763
59	3766	3.69129
59	3810	3.70502
60	2557	4.15692
60	4619	1.83378
60	4660	2.19965
60	4681	2.40969
60	4755	2.79159
60	4869	3.65862
60	4890	3.77663
61	684	1.94928
61	1151	2.47354
61	2064	2.7946
61	2518	2.86878
61	2693	3.0438
61	3227	3.53822
61	4089	0.78493
62	409	0.112815
62	470	0.565433
62	3490	2.45998
62	3904	3.01677
62	4105	3.12748
62	4173	3.59023
62	4334	3.79552
63	3048	1.54437
63	3672	1.59979
63	3755	1.73631
63	4147	2.85689
63	4174	2.80643
63	4515	3.60927
63	4566	4.05955
64	1543	2.7
64	4316	0.615587
64	4654	2.22561
64	4777	2.79774
64	4852	3.35126
64	4927	3.83912
64	4930	3.83912
65	304	1.57801
65	3210	0.369109
65	3784	1.63361
65	3973	1.97441
65	4347	3.2456
65	4480	3.6305
65	4675	4.237
66	1405	0.583554
66	3578	2.4518
66	3725	2.50014
66	3945	3.12084
66	4033	3.31892
66	4151	3.55562
66	4336	3.63751
67	4000	1.95911
67	4863	2.22188
67	4909	2.5555
67	4924	2.63807
67	4976	3.08856
67	4979	3.08851
67	4988	3.08845
68	1601	0.370152
68	2684	0.162822
68	3400	1.19609
68	4253	3.18002
68	4429	3.66837
68	4517	3.8079
68	4624	4.28287
69	3230	0.0404556
69	3293	1.46583
69	4602	2.81066
69	4728	3.35575
69	4731	3.44206
69	4732	3.45671
69	4769	3.5628
70	4328	0.741563
70	4451	4.90357
70	4765	2.54402
70	4866	3.12553
70	4874	3.23953
70	4932	3.50962
70	4933	3.50961
71	3634	7.63675
71	4046	1.22576
