10000	76570
1	2163	0.891545
1	3599	2.7
1	5245	1.14763
1	6810	2.21322
1	8616	4.04635
1	8680	4.12089
1	8794	4.2486
2	5037	1.83317
2	6559	2.24961
2	6839	2.3275
2	6886	2.32054
2	7251	2.81715
2	8036	3.47413
2	8294	3.89573
3	4523	3.64829
3	5681	0.328643
3	5775	0.772704
3	9029	3.44599
3	9058	3.28795
3	9508	4.31937
3	9639	4.51358
4	600	1.38534
4	1855	1.01757
4	4143	1.53722
4	8130	4.09828
4	8252	4.43864
4	8271	4.19119
4	9533	1.94696
5	4533	1.16383
5	5625	1.80749
5	6346	2.58021
5	7535	3.10904
5	8312	1.37292
5	8347	3.95372
5	8496	4.05395
6	5165	1.3099
6	7684	2.16647
6	7869	2.47363
6	8264	2.74625
6	8488	2.92779
6	8658	3.17704
6	8710	3.17704
7	2897	1.74362
7	3014	1.7444
7	4937	2.10628
7	5544	2.5137
7	6084	2.916
7	6308	2.38319
7	7187	3.26104
8	4730	1.2996
8	6251	5.23832
8	8361	2.10306
8	8527	2.785
8	8945	3.03874
8	9030	3.22044
8	9548	4.22138
9	2448	0.443375
9	7618	0.727995
9	8128	1.41927
9	9204	3.01455
9	9307	3.33507
9	9410	3.48137
9	9624	4.2466
10	6151	5.23832
10	9535	1.56892
10	9622	2.01246
10	9901	3.0209
10	9968	3.31212
10	9974	3.29976
10	9999	3.46353
11	153	1.85203
11	1397	2.35078
11	1912	2.33461
11	2143	2.49807
11	3819	2.6904
11	5226	3.27713
11	6202	3.51724
12	2247	2.26274
12	3137	0.974166
12	6286	1.86687
12	7125	2.89028
12	7512	3.3452
12	7647	3.172
12	8897	4.41971
13	237	0.840656
13	1204	0.201371
13	6663	0.645718
13	7328	1.65653
13	9166	3.72207
13	9641	4.80094
13	9644	4.80094
14	7834	0.887541
14	8370	1.71846
14	9084	2.54287
14	9480	3.8199
14	9490	3.80143
14	9518	2.62319
14	9562	3.89802
15	8316	1.49866
15	9294	1.93849
15	9372	2.13163
15	9428	2.26716
15	9766	3.39684
15	9850	3.37299
15	9935	3.56178
16	8533	0.218408
16	8987	1.41167
16	9206	1.9757
16	9425	2.47892
16	9583	3.14047
16	9829	3.62336
16	9860	3.82014
17	4263	0.486396
17	5529	0.813923
17	6017	1.41083
17	7091	1.99946
17	8925	3.72025
17	9094	3.80433
17	9437	4.43304
18	5128	0.365015
18	7684	2.58819
18	8264	3.16797
18	8488	3.34951
18	8658	3.59877
18	8710	3.59877
18	9616	2.82768
19	4387	1.96905
19	6118	1.97633
19	6720	2.19289
19	7104	2.80211
19	8646	3.71643
19	8666	3.05449
19	8805	4.01141
20	8045	0.60963
20	9182	2.6083
20	9405	4.17796
20	9478	3.03873
20	9536	3.34669
20	9612	3.23342
20	9767	3.83146
21	368	1.17834
21	4880	2.50138
21	5219	2.27348
21	5662	2.94248
21	7158	3.63993
21	8353	4.13263
21	9978	2.1931
22	2090	0.63432
22	4489	1.58885
22	5178	2.0562
22	5584	3.20361
22	8204	2.29499
22	8633	4.3984
22	9069	4.78685
23	398	0.237429
23	7495	2.34993
23	8801	2.08973
23	9326	3.11463
23	9375	3.24912
23	9605	3.84328
23	9742	4.13404
24	3912	3.16228
24	5372	0.535596
24	7499	1.96437
24	7941	2.48719
24	8947	3.81468
24	8984	3.77911
24	9082	4.08729
25	3235	0.460438
25	8848	2.06789
25	9267	3.74896
25	9398	3.05767
25	9492	3.34768
25	9592	3.66324
25	9777	4.07133
26	5532	1.31935
26	6285	1.37609
26	7516	2.62621
26	7702	2.72064
26	7849	2.87531
26	7858	2.87531
26	7936	2.87531
27	8771	0.79777
27	9218	1.61835
27	9557	2.79505
27	9596	2.66102
27	9626	2.88752
27	9750	3.41454
27	9804	3.29175
28	4816	0.796497
28	5319	1.02401
28	7096	2.3973
28	8319	3.74652
28	8736	4.03432
28	9125	2.53058
28	9200	4.66959
29	3109	0.269015
29	6596	1.81929
29	7397	2.55594
29	7567	3.5934
29	8553	3.95511
29	8715	3.89641
29	8722	4.17247
30	5238	0.971356
30	6167	1.49322
30	7594	2.69109
30	8570	3.66882
30	8665	3.69154
30	8832	3.33744
30	9228	4.15221
31	4098	0.172658
31	4970	1.96263
31	8017	1.43434
31	8364	1.68027
31	8999	2.89057
31	9398	3.75704
31	9777	4.77071
32	4847	3.64829
32	7001	2.34079
32	7349	2.70417
32	7506	2.81707
32	7548	2.80723
32	7689	3.02117
32	7782	2.97779
33	9439	1.67947
33	9500	3.79953
33	9676	2.51414
33	9775	2.89563
33	9838	3.08427
33	9865	3.18694
33	9904	3.30879
34	691	0.47772
34	7691	2.12097
34	7886	2.10283
34	8251	2.67234
34	8322	2.5744
34	8738	3.16766
34	9039	3.55232
35	7742	0.417826
35	8370	1.24464
35	8919	1.95038
35	9397	3.01627
35	9480	3.34608
35	9491	3.26882
35	9562	3.4242
36	3790	3.16228
36	5849	0.302854
36	8226	1.81074
36	9098	3.12355
36	9257	3.50471
36	9338	3.5552
36	9651	4.37118
37	9177	0.639237
37	9538	2.07878
37	9634	2.17536
37	9825	2.77495
37	9845	2.88703
37	9888	3.04686
37	9889	3.06999
38	4545	3.64829
38	9231	1.78109
38	9341	1.87905
38	9551	2.72337
38	9805	3.15288
38	9840	3.35606
38	9973	3.77585
39	4168	3.16228
39	7259	1.52927
39	7850	2.18735
39	8094	1.9986
39	8791	3.19042
39	9155	3.80743
39	9273	3.95516
40	7667	0.0198203
40	7944	0.0213332
40	9195	2.4807
40	9336	2.97645
40	9500	3.39705
40	9586	3.62392
40	9709	4.15015
41	7163	2.20034
41	7333	2.36691
41	7876	2.89679
41	7918	2.82473
41	7942	2.91141
41	8387	3.46805
41	9119	1.4303
42	5679	1.24139
42	8635	0.0172707
42	8894	0.927941
42	9726	3.47379
42	9854	3.98907
42	9870	4.13083
42	9903	4.13082
43	206	1.172
43	3643	2.29061
43	4351	2.18658
43	5576	2.27684
43	6376	2.65685
43	7414	2.87014
43	7608	3.2152
44	786	1.85203
44	1526	0.788896
44	4784	1.58781
44	4800	1.59918
44	7685	3.71132
44	8386	4.15535
44	8523	4.82568
45	677	0.631981
45	2496	0.485329
45	5774	4.68722
45	6064	2.20385
45	7091	3.03621
45	9094	4.84107
45	9437	5.46979
46	2924	2.7
46	9519	1.7697
46	9575	2.12236
46	9830	2.82143
46	9921	3.30408
46	9931	3.34215
46	9939	3.31255
47	673	1.85203
47	9564	1.86833
47	9614	2.01129
47	9734	2.46133
47	9867	3.11683
47	9981	3.66292
47	9988	3.54974
48	1016	0.162911
48	7122	1.78963
48	7473	2.56577
48	8086	2.67669
48	8161	3.1995
48	8247	2.86589
48	8626	3.40785
49	1353	1.1318
49	2998	2.32093
