5000	38396
1	1244	2.26274
1	2660	0.0928538
1	3557	1.21014
1	4425	2.9156
1	4668	4.08312
1	4675	4.13392
1	4702	4.23258
2	1332	0.592846
2	3296	1.5155
2	3559	1.96101
2	3821	2.30047
2	4210	3.73348
2	4785	4.84334
2	4938	5.45507
3	4740	1.3026
3	4773	2.33087
3	4823	2.09169
3	4947	3.12096
3	4966	3.25784
3	4978	3.3803
3	4994	3.51825
4	204	0.407522
4	3000	2.85704
4	3199	2.73732
4	3519	2.99626
4	3881	3.88339
4	3882	3.7867
4	4744	3.49822
5	1336	2.26274
5	2511	0.0871507
5	2958	0.0622592
5	4713	3.46893
5	4821	3.92968
5	4922	4.56473
5	4941	4.55543
6	3979	1.67154
6	4623	1.4585
6	4651	1.58306
6	4890	3.11207
6	4894	3.17086
6	4957	3.62375
6	4971	3.72078
7	528	1.85203
7	3603	2.39212
7	4039	3.20521
7	4118	3.2562
7	4154	3.39339
7	4484	4.4213
7	4671	2.19682
8	2979	0.00509897
8	4153	0.0793309
8	4632	1.7314
8	4890	3.36953
8	4925	3.62368
8	4957	3.88121
8	4971	3.97824
9	3013	2.19517
9	3855	1.65985
9	4114	1.90255
9	4394	2.86701
9	4399	2.83459
9	4640	3.61566
9	4731	3.78857
10	1953	1.04172
10	2410	1.08326
10	3088	2.13727
10	3203	2.55577
10	3522	2.28273
10	4382	3.67498
10	4429	3.89248
11	2715	1.10487
11	3137	2.17832
11	3334	2.51446
11	3504	2.68486
11	3704	2.62186
11	4027	3.33269
11	4642	4.74562
12	3693	4.14095
12	4255	2.46431
12	4311	2.17326
12	4321	2.55342
12	4344	2.62457
12	4579	3.23346
12	4665	3.61921
13	911	0.934856
13	2068	1.8409
13	2335	3.64829
13	3051	1.77488
13	4051	3.45236
13	4367	4.19362
13	4502	4.47162
14	165	0.273325
14	1301	0.969836
14	2819	1.61473
14	3629	2.63405
14	4110	3.28774
14	4299	3.63746
14	4542	4.2511
15	4301	0.196401
15	4602	1.13734
15	4897	2.8533
15	4927	3.01386
15	4935	2.99585
15	4946	3.04768
15	4983	3.42529
16	1954	2.12491
16	2013	2.00655
16	2652	2.18106
16	2767	2.2288
16	2881	2.68072
16	2964	2.65468
16	3290	2.79151
17	527	1.85203
17	2347	1.73155
17	3198	2.46504
17	3338	2.63262
17	3643	2.92555
17	3942	3.28286
17	4001	3.63061
18	4127	0.116412
18	4608	1.97429
18	4736	2.6089
18	4774	2.93852
18	4788	2.87299
18	4813	3.04129
18	4830	3.14481
19	2133	1.66861
19	2164	3.16228
19	2583	2.19387
19	3287	3.03868
19	3512	3.04073
19	3558	2.91665
19	4174	3.8097
20	1043	1.91902
20	1775	1.85239
20	1959	2.14415
20	3392	3.57287
20	3444	3.31451
20	3755	3.86529
20	4674	4.62235
21	2444	0.429239
21	2986	0.691997
21	3972	3.32743
21	4024	2.42254
21	4448	3.80029
21	4638	4.4392
21	4753	4.88497
22	1910	0.337614
22	3461	3.86668
22	3989	2.48263
22	4246	2.42973
22	4320	2.87096
22	4661	4.07791
22	4769	4.46939
23	865	0.0685426
23	3453	0.79432
23	3626	0.050722
23	4729	3.39035
23	4848	4.17693
23	4867	4.60602
23	4874	4.37646
24	2625	1.13488
24	2904	1.72078
24	3471	1.93121
24	3509	2.35349
24	4055	3.10481
24	4072	3.1637
24	4123	3.25936
25	589	0.12911
25	1999	1.13163
25	3211	2.30826
25	3505	2.48507
25	3568	2.7432
25	3912	3.38531
25	4532	4.48565
26	2379	1.55955
26	2457	3.64829
26	2735	1.97659
26	3439	2.94103
26	3662	2.95759
26	3929	3.36374
26	4161	3.86972
27	1556	0.660769
27	3121	1.6664
27	4254	2.95031
27	4259	2.93747
27	4595	3.78461
27	4791	4.66868
27	4950	1.90641
28	887	2.26274
28	4048	1.49915
28	4260	1.77454
28	4342	2.42194
28	4741	3.63294
28	4743	3.63182
28	4837	3.70785
29	1544	0.745758
29	1942	1.08456
29	3369	3.2
29	3819	3.34953
29	3984	3.7687
29	4011	3.83694
29	4102	3.88274
30	2685	1.18082
30	2776	1.53583
30	3452	2.17905
30	3610	0.364431
30	3814	2.6453
30	4593	4.40481
30	4685	4.72243
31	659	1.85203
31	1408	1.47523
31	3390	0.618809
31	3679	1.69286
31	4520	3.48505
31	4725	4.30272
31	4872	5.09356
32	2347	1.86038
32	2562	1.98849
32	3198	2.59386
32	3643	3.05438
32	3828	1.32328
32	3942	3.41169
32	4001	3.75944
33	446	1.85203
33	993	0.237143
33	3017	1.07404
33	4182	3.21801
33	4335	3.28381
33	4359	3.69411
33	4797	5.16111
34	901	0.975735
34	1618	2.7
34	2433	1.45807
34	3520	3.15956
34	3737	3.39748
34	3783	3.55681
34	4070	4.12058
35	3918	0.755671
35	4381	1.77977
35	4449	2.28822
35	4526	2.23605
35	4727	2.97485
35	4790	3.26464
35	4800	3.36908
36	1759	2.7
36	1803	1.09883
36	2083	1.06287
36	3211	2.30678
36	3912	3.38382
36	4523	4.33175
36	4532	4.48417
37	348	0.721761
37	1195	0.887
37	1362	1.40648
37	1514	1.03434
37	4055	4.13507
37	4072	4.19396
37	4123	4.28962
38	475	0.716679
38	2971	1.90495
38	3211	2.1918
38	3912	3.26884
38	4172	0.404862
38	4523	4.21677
38	4532	4.36919
39	2482	0.806503
39	2728	1.25045
39	2823	1.72185
39	3601	2.76727
39	4078	3.06782
39	4152	3.47391
39	4227	3.58042
40	2793	0.545914
40	2994	0.37101
40	4462	2.86142
40	4639	3.88888
40	4773	4.54211
40	4779	4.4589
40	4936	2.67884
41	2097	1.59252
41	2605	1.94974
41	2968	2.31709
41	3300	2.71845
41	3466	2.5064
41	3529	2.48391
41	3806	3.10012
42	923	2.26274
42	3188	0.255788
42	4096	1.70136
42	4395	2.53426
42	4434	2.31843
42	4834	4.63464
42	4952	5.22377
43	714	1.74546
43	1053	0.523037
43	3073	1.37088
43	3442	2.99953
43	4315	1.71997
43	4411	4.33387
43	4725	5.69544
44	1357	2.7
44	3114	0.984005
44	3121	1.73376
44	3952	2.65188
44	4259	3.00484
44	4387	3.55772
44	4791	4.73604
45	2176	3.64829
45	2432	0.969291
45	2896	1.38172
45	3780	2.72818
45	4379	3.55212
45	4385	3.8369
45	4484	4.20003
46	2412	1.18511
46	2823	1.94992
46	3302	6.4
46	3648	2.72686
46	4078	3.29588
46	4152	3.70197
46	4227	3.80849
47	2138	0.115583
47	2212	0.648985
47	4159	1.78942
47	4592	2.93945
47	4712	3.33425
47	4835	3.89732
47	4861	3.94324
48	2502	1.99769
48	2574	1.81644
48	2931	2.69533
48	2935	2.48195
48	3896	3.76881
48	3994	3.908
48	4214	2.08918
49	2137	3.16228
49	4121	0.602974
49	4527	2.08362
49	4732	3.20289
49	4784	3.37678
49	4839	3.64172
49	4877	3.76024
50	3138	1.14383
50	3880	2.23478
50	4292	3.09714
50	4338	3.14035
50	4383	3.05625
50	4597	3.99588
50	4948	2.7949
51	2214	0.274559
51	4168	2.57926
51	4414	3.12666
51	4461	3.22911
51	4578	3.52593
51	4659	3.93273
51	4673	1.94619
52	97	0.806278
52	959	1.20058
52	1254	1.36721
52	3391	3.37966
52	4017	4.45919
52	4048	2.54827
52	4412	5.45531
53	173	0.133983
53	1682	0.897833
53	2064	1.44993
53	3420	2.85772
53	3463	3.09794
53	4190	4.06215
53	4236	4.16867
54	3739	2.05674
54	3960	2.74973
54	4084	2.88216
54	4178	3.03565
54	4248	2.96875
54	4273	2.9752
54	4395	1.5918
55	1921	3.16228
55	2594	1.56385
55	2920	1.75631
55	3463	2.77852
55	3708	2.97758
55	4190	3.74272
55	4236	3.84924
56	3996	0.740397
56	4275	1.67661
56	4559	2.32356
56	4660	2.93677
56	4682	2.90403
56	4716	3.04347
56	4728	3.04347
57	4058	2.06518
57	4245	3.13116
57	4391	2.62504
57	4431	2.67116
57	4525	3.08514
57	4553	3.01814
57	4562	3.20356
58	2846	1.67528
58	3425	2.08225
58	3503	2.91136
58	3573	2.56147
58	3999	4.46096
58	4191	3.51453
58	4341	3.92334
59	2798	0.0297528
59	3100	0.951955
59	3914	1.45711
59	4237	2.72578
59	4472	3.30083
59	4810	4.522
59	4931	5.13791
60	4270	0.957696
60	4536	1.76152
60	4585	2.00812
60	4732	2.93213
60	4784	3.10602
60	4839	3.37096
60	4877	3.48947
61	1570	1.2657
61	2982	2.3503
61	3274	2.83854
61	3306	2.92928
61	3926	3.5698
61	3954	3.71461
61	4217	6.04464
62	3721	3.9356
62	4942	2.43702
62	4961	2.67862
62	4969	2.81424
62	4979	2.8154
62	4995	2.95804
62	5000	2.96622
63	4770	1.64418
63	4775	2.06734
63	4833	2.41869
63	4847	2.42334
63	4851	2.58406
63	4852	2.5807
63	4882	2.96726
64	2732	2.69446
64	2833	2.77558
64	3107	2.90192
64	3258	2.56733
64	3309	2.78511
64	3354	2.94383
64	4640	0.672817
65	259	0.386427
65	3395	2.08839
65	4005	3.32082
65	4198	3.54401
65	4242	3.58954
65	4369	3.73904
65	4818	3.07332
66	1525	1.22291
66	2771	1.27811
66	3343	2.05228
66	3508	2.81273
66	3593	2.50616
66	4204	3.21195
66	4245	3.58409
67	1728	1.13635
67	2781	2.14156
67	3105	2.75103
67	3301	2.47526
67	3318	2.68743
67	3381	2.36324
67	3951	3.11337
68	3125	0.975133
68	3712	2.01459
68	3862	2.20084
68	3928	2.41625
68	4083	2.81183
68	4084	3.07827
68	4273	3.17131
69	553	1.02868
69	663	0.606621
69	1148	1.30759
69	2679	2.00779
69	3832	3.60159
69	3980	3.9078
69	4018	4.20816
70	1782	1.705
70	1941	1.42618
70	2457	1.584
70	3199	2.37467
70	3519	2.6336
70	3881	3.52073
70	3882	3.42404
71	4258	0.893908
71	4357	1.05898
71	4617	2.5325
71	4681	2.39681
71	4739	2.6131
71	4886	3.58821
71	4921	3.58472
72	1878	0.50402
72	3997	4.73547
72	4126	2.72677
72	4199	2.71412
72	4433	3.33909
72	4492	3.57606
72	4600	3.80817
73	1820	0.0876286
73	4266	1.30077
73	4422	1.68265
73	4423	1.85098
73	4855	3.66167
73	4896	3.92715
73	4934	4.1574
74	234	1.25043
74	1412	1.85306
74	2515	2.31629
74	3577	3.38632
74	3846	3.83754
74	3950	4.02459
74	4973	2.02459
75	2818	1.43305
75	4193	1.50153
75	4306	2.34685
75	4404	2.12033
75	4438	2.74141
75	4822	4.05574
75	4828	3.90241
76	313	1.03945
76	483	0.808353
76	1279	1.86999
76	2369	2.10156
76	3782	3.58131
76	3808	3.6522
76	3872	3.61536
77	4725	3.38049
77	4770	1.99113
77	4829	2.75366
77	4833	2.76564
77	4851	2.93101
77	4852	2.92765
77	4882	3.31421
78	342	1.85203
78	885	0.89386
78	4007	2.73252
78	4014	3.14233
78	4077	3.08918
78	4244	3.32004
78	4325	3.4903
79	4608	1.69713
79	4669	1.78256
79	4736	2.33174
79	4774	2.66137
79	4788	2.59583
79	4813	2.76413
79	4830	2.86766
80	324	1.85203
80	4701	1.98363
80	4735	2.17444
80	4816	2.63873
80	4918	3.07198
80	4932	3.36405
80	4980	3.43619
81	1598	2.7
81	3750	2.11854
81	4006	2.6002
81	4063	2.97986
81	4142	3.03492
81	4155	3.02562
81	4202	2.9091
82	2719	1.54242
82	2813	1.74573
82	3815	3.17902
82	3854	3.21026
82	3997	3.47533
82	4022	3.51547
82	4407	6.98412
83	1138	2.26274
83	4747	1.70115
83	4846	2.45685
83	4879	2.93312
83	4909	3.06975
83	4915	3.07945
83	4950	3.42984
84	2424	3.64829
84	4911	2.28687
84	4944	2.61224
84	4963	2.75889
84	4990	3.00926
84	4991	3.00919
84	4997	3.00911
85	2607	0.732289
85	2776	0.830101
85	4111	2.28754
85	4291	2.9515
85	4380	2.84073
85	4384	3.00936
85	4685	4.01671
86	1080	0.936324
86	4204	5.87878
86	4212	1.45178
86	4289	1.95518
86	4714	3.22854
86	4913	4.24511
86	4988	4.8513
87	3616	0.796723
87	3939	1.60587
87	4335	2.04621
87	4359	2.45651
87	4491	3.03035
87	4521	2.80905
87	4797	3.92351
88	943	0.743951
88	2694	4.15692
88	3385	2.13433
88	3818	3.22878
88	4093	3.54162
88	4115	3.46168
88	4128	3.55786
89	1136	2.26274
89	3469	0.0685862
89	4436	1.76774
89	4510	1.86111
89	4936	4.001
89	4984	4.52788
89	4987	4.44193
90	2982	5.23832
90	3866	0.512229
90	4501	2.05577
90	4612	2.51975
90	4821	3.4399
90	4922	4.07494
90	4941	4.06565
91	4598	1.57158
91	4905	2.2094
91	4961	2.7532
91	4969	2.88882
91	4974	2.88729
91	4979	2.88998
91	5000	3.04079
92	2200	0.0967235
92	4516	1.71957
92	4585	1.99717
92	4732	2.92118
92	4784	3.09506
92	4839	3.36001
92	4877	3.47852
93	1953	1.50368
93	2932	2.01966
93	3117	2.74114
93	3203	3.01774
93	3635	3.03156
93	3682	2.14018
93	4429	4.35445
94	3589	2.66593
94	4603	1.8929
94	4749	2.4072
94	4764	2.44554
94	4799	2.69178
94	4920	3.32173
94	4998	3.90909
95	1555	2.7
95	3564	0.149616
95	4750	2.20367
95	4900	3.35233
95	4907	3.34415
95	4954	3.59151
95	4989	4.0271
96	2433	0.912218
96	2934	1.81589
96	3150	1.86979
96	3562	2.7692
96	3617	2.71544
96	3783	3.01096
96	4070	3.57473
97	2865	1.44548
97	3698	2.33315
97	3769	2.7737
97	4017	2.93918
97	4412	3.93531
97	4413	3.88061
98	2910	0.430269
98	3712	3.9356
98	4239	1.60024
98	4691	3.32368
98	4782	3.59139
98	4824	3.82099
98	4853	3.90166
99	3745	0.886803
99	4326	2.84146
99	4391	2.87706
99	4525	3.33716
99	4549	3.87181
99	4553	3.27016
99	4562	3.45559
100	191	1.85203
100	1211	0.793309
100	1751	0.240078
100	4708	3.32375
100	4710	3.60647
100	4834	4.18532
100	4895	4.5193
101	1630	1.446
101	2831	2.29533
101	2868	4.68722
101	2995	2.17178
101	3440	3.10892
